Substrate archetype,Scale & form factor,Material constitution,Morphology,Mechanical response,Surface chemistry,Binding mode,Environment
Gels & soft solids,Patterned/etched,Polymer (elastomer),Macro-porous,Plastic/ductile,Redox-active,Bioadhesion,Submerged aqueous
Membranes/filters,Particulate bed,Ceramic/glass,Cellular/foam,Soft/gel-like,Oleophobic,Physisorption,Multiphase
Liquid interfaces,Meso,Mineral/rock/soil,Channelled,Thixotropic,Charged (cationic),Crystallization/scale,In vivo
Hard inorganics,Fiber/yarn,Biological,Meso-porous,Brittle,Catalytic,Hydrogen bonding,Dry air
Biological tissues,Atomic/nano,Polymer (thermoplastic),Matte/rough,Swelling/shrinking,Hydrophilic,Electrostatic,Humid air
Aerosols/droplets,3D bulk,Carbonaceous,Fissured/cracked,Membrane-tensive,Charged (anionic),Coordination/chelation,Cryogenic
Powders/granular beds,Macro,Metal,Patterned,Granular-flowing,Zwitterionic,Capillary/meniscus,In vitro
Infrastructure,Lattice/foam,Composite/hybrid,Layered/laminate,Rigid,Low surface energy,Hydrophobic association,Non-aqueous solvent
Liquid interfaces,3D bulk,Gel/colloid,Macro-porous,Soft/gel-like,Zwitterionic,Chemisorption/covalent,Non-aqueous solvent
Aerosols/droplets,Layered stack,Polymer (elastomer),Granular,Stiff,Bioactive,Mechanical interlock,Vacuum/low-p
Liquid interfaces,Mega,Biological,Cellular/foam,Shape-memory,Hydrophilic,Capillary/meniscus,Cryogenic
Hard inorganics,Layered stack,Carbonaceous,Atomically smooth,Shape-memory,Charged (cationic),Physisorption,Submerged aqueous
Liquid interfaces,2D film/coating,Ceramic/glass,Hierarchical pores,Brittle,H-bonding,Mechanical interlock,Cleanroom
Metals & alloys,Lattice/foam,Digital substrate,Hierarchical pores,Plastic/ductile,Amphiphilic,Magnetic,Radiation/UV
Composites,Fiber/yarn,Polymer (thermoset),Micro-porous,Membrane-tensive,H-bonding,Capillary/meniscus,Vacuum/low-p
Devices & components,Atomic/nano,Liquid interface,Micro-porous,Shape-memory,Hydrophobic/oleophilic,Chemisorption/covalent,In vivo
Powders/granular beds,Micro,Carbonaceous,Layered/laminate,Compliant/elastic,H-bonding,Sintering/fusion,Dry air
Digital analogs,Layered stack,Gel/colloid,Channelled,Membrane-tensive,Amphiphilic,Hydrogen bonding,Food-grade
Fibrous sheets/textiles,Micro,Ceramic/glass,Granular,Membrane-tensive,π-π interactive,Electrostatic,Submerged aqueous
Biofilms/ECM/scaffolds,3D bulk,Metal,Fibrous/felted,Stiff,Catalytic,Sintering/fusion,Submerged aqueous
Metals & alloys,Particulate bed,Liquid interface,Polished,Stiff,Low surface energy,Crystallization/scale,Cryogenic
Polymers,Meso,Biological,Macro-porous,Rigid,Passivated,Coordination/chelation,Sterile/aseptic
